id,FrameName,English,French,German,Spanish,Portuguese,Arabic,Chinese,Swedish
1 303,Response_scenario,,,,,rejeição.n,,,
1 304,Responsibility,"behind.prep, responsible.a, responsibility.n",responsable.a,dahinterstecken.v,,"responsabilidade.n, responsável.a, complacente.a",,,
1 305,Rest,"rest.n, complement.v, complement.n",,,,resto.n,,,
1 306,Result_of_attempt_scenario,,,,,,,,
1 307,Resurrection,"rise.v, resurrect.v, come back.v, return.v, resurrection.n",,auferstehen.v,,"ressurreição.n, ressuscitar.v, voltar.v",,,"reinkarnation.n, återkomst.n"
1 308,Retaining,"hold.v, retain.v, hold on to.v, hang on to.v, keep.v",,,,"agarrar.v, manter.v, reter.v, guardar.v",,,
1 309,Return,,,,"retorno.n, retornar.v, regreso.n, volver.v\n, regresar.v",,,,
1 310,Reuse,"reuse.v, ","réemploi.v, réemployer.v, réutilisation.n, réutiliser.v",,,,,,
1 311,Reveal_secret,"divulgence.n, let slip.v, tip (someone's) hand.idio, confide.v, fess up.v, disclosure.n, come clean.v, let on.v, divulge.v, expose.v, spill beans.v, admit.v, revelation.n, leak.v, confess.v, come forward.v, disclose.v, ""tip (someones) hand.idio"", reveal.v, confession.n",avouer.v,"auspacken.v, reden.v","filtrar.v, revelar.v\n, , filtración.n, revelación.n, revelar.v, reconocer.v, confidencia.n, confesión.n, confesar.v, confesar.v, desvelar.v","desvendar.v, confessar.v",,,"avslöja.v, röja.v"
1 312,Revenge,"vengeance.n, payback.n, avenge.v, revenge.v, get back (at).v, vengeful.a, retribution.n, retributory.a, revengeful.a, retaliation.n, sanction.n, revenge.n, vindictive.a, revenger.n, get even.v, avenger.n, retributive.a, retaliate.v",,"rächen.v, heimzahlen.v, Rache.n",,"vingança.n, vingativamente.adv",,,
1 313,Revolution,revolutionary.n,,"Revolution.n, meutern.v, stürzen.v, Meuterei.n",,"revolução.n, revolucionário.n",,,"kontrarevolution.n, revolution.n"
1 314,Rewards_and_punishments,"punish.v, punishment [act].n, recompense.v, disciplinary.a, punitive.a, reward.v, penalty.n, reward.n, punishable.a, discipline.v, punishment [penalty].n",condamner.v,"zahlen.v, Strafe.n, bestrafen.v, würdigen.v, bedenken.v",,"prêmio.n, punir.v, castigo.n, castigar.v, recompensar.v",,,"straff.n, sanktion.n, belöna.v, straffa.v"
1 315,Ride_vehicle,"flight.n, coast.v, cruise.v, cruise.n, taxi.v, ride.n, sail.v, travel.n, bus.v, jet.v, commute.n, ride.v, transit.n, commuting.v, carpooling.v, fly.v, take.v, hitchhike.v","covoiturage.n, déplacement.v, déplacer.v, trajet.n, voyage.n",,"volar.v, volar.v\n, navegar.v","cruzeiro.n, voar.v, andar.v, navegação.n, pegar.v, fazer mochilão.v, velejar.v, voo.n, -, navegar.v",,,"åka.v, flygaflyga upp.v, färdas.v, flyga.v"
1 316,Rising_to_a_challenge,"rise.v, rise to the occasion.v",,,,encarar.v,,,
1 317,Risk_scenario,,,,,,,,
1 318,Risky_situation,"safe.a, hazardous.a, dangerous.a, riskily.adv, safely.adv, unsafe.a, risk.n, warm.a, harmful.a, threat.n, danger.n, hazard.n, risky.a","danger.v, néfaste.a, nocif.a, nuisible.a",,"inseguro.a, peligro.n, peligroso.a, amenaza.n, , seguro.a\n, seguro.a, amenaza.n, arriesgado.a","ameaça.n, perigoso.a, -, seguro.a, perigo.n",,有害.v,"livsfarlig.a, hotfull.a"
1 319,Rite,"confirm.v, sacrament.n, worship.n, sacrifice.n, blessing.n, consecrate.v, eucharist.n, initiation.n, baptism.n, sacrifice.v, mass.n, vesper.n, prayer.n, ordination.n, initiate.v, pray.v, order.v, christening.n, communion.n, rite.n, circumcise.v, ritual.n, consecration.n, rite of passage.n, evensong.n, confirmation.n, christen.v, exercise.n, bless.v, bar mitzvah.n, circumcision.n, vigil.n, baptize.v, confession.n, service.n, ordain.v, anoint.v, unction.n",,"Ritual.n, Kommunion.n, weihen.v, taufen.v, Taufe.n, Ritus.n, segnen.v",,"eucaristia.n, benzer.v, oração.n, rezar.v, batizar.v, abençoar.v, reza.n, sagrado.a, , ritual.n",,,"nattvardsgudstjänst.n, bikt.n, ceremoni.n, ritual.n"
1 320,Roadways,"expressway.n, track.n, roadway.n, sidewalk.n, boulevard.n, bypass.n, runway.n, freeway.n, pathway.n, railway.n, route.n, driveway.n, path.n, byway.n, lane.n, overpass.n, way.n, thoroughfare.n, rail.n, line.n, avenue.n, pavement.n, underpass.n, motorway.n, crosswalk.n, road.n, autobahn.n, flyover.n, course.n, artery.n, bridge.n, tunnel.n, street.n, railroad.n, highway.n, cul-de-sac.n, trail.n, parkway.n",rue.n,,"sendero.n, avenida.n, carretera.n, ruta.n","rua.n, via expressa.n, túnel.n, rodovia.n, linha.n, asfalto.n, trilho.n, via.n, artéria.n, viaduto.n, bulevar.n, rota.n, beco sem saída.n, alameda.n, ver.n, esquina.n, calçada.n, , fila.n, trajeto.n, ruela.n, caminho.n, curso.n, ramal.n, beco.n, calçadão.n, galeria.n, vereda.n, caminho de acesso.n, passagem subterrânea.n, ponte.n, passarela.n, ferrovia.n, trilha.n, percurso.n, auto-estrada.n, estrada.n, pista.n, avenida.n, faixa.n",,,"körbana.n, cykelbana.n, gångförsta gången:4.n, gata.n, gången gång:21.n, väg.n, gången gång:29en gång till:29.n, gången gång:27en gång till:27.n, gång.n, huvudväg.n, gången gång:8.n, gångän en gång:14en gång:15.n, bana.n, gångän en gång:1en gång:2.n, gångän en gång:18en gång:19.n, gången gång:2.n, motorväg.n, gågata.n, gången gång:3.n, omväg.n, huvudgata.n, landsväg.n, grusväg.n, bro.n, utfart.n, gångförsta gången:1.n"
1 321,Robbery,"robber.n, mugger.n, robbery.n, mugging.n, rifle.v, hold-up.n, rob blind.v, hold up.v, mug.v, stick up.v, ransack.v, rob.v, stick-up.n",,,,"assaltante.n, assalto.n, roubar.v, ladrão.n, , assaltar.v, roubo.n",,,"råna.v, rånare.n"
1 322,Rope_manipulation,"tangle.v, tie.v, knot.v, braid.v",,,,"amarrar.v, dar nó.v, embolar.v",,,
1 323,Rotting,"spoil.v, biodegradation.n, fester.v, biodegrade.n, decay.n, biodegradable.a, rot.v, perish.v, putrefy.v, decompose.v, rot.n, decomposition.n, moulder.v, decay.v","biodégradable.a, biodégradation.n, biodégrader.v, décomposer.v, décomposition.n, dégradable.a, dégrader.v, putrescible.a","zersetzen.v, verderben.v, zugrunde gehen.v, verrotten.v, zerfallen.v, verfaulen.v",,"apodrecer.v, estragar.v, , decompor.v",,,"vara.v, ruttna.v, murkna.v"
1 324,Run_risk,"peril.n, endangered.a, risk.v, risk.n, threat.n, wager.v","menace.n, risque.v",einsetzen.v,"riesgo.n\n, riesgo.n","risco.n, arriscar.v, riscar.v, -, chutar.v",,"威胁.v, 风险.n","riskera.v, risk.n"
1 325,Running_a_program,", endangerment.n, vulnerability.n, sensitivity.n, vulnerable.a, threatened.v","exécution.n, exécuter.v",,,,n.تشغيل,,
1 326,Running_on_system,", hatch.v, birth.n","exécuter.v, exécution.n",,,,"n.عمل, n.تشغيل",,
1 327,Sacrificing_for,"sacrifice.v, compromise.v",,opfern.v,,"sacrificar.v, concessão.n",,,"offra.v, uppoffring.n"
1 328,Sanctions,", throw-in.n, black card.n, punishing.n, free throw.n, disqualification.n, man-up.n, penalty kick.n, ineligibility.n, ejection.n, advantage.n, penalty.n, expulsion.n, passivity.n, sanction.n, suspension.n, sending-off.n, card.n, advertence.n, dismissal.n, warning.n, offside.n, red card.n, yellow card.n, free kick.n",,,"tarjeta.n, mostrar.v, inelegibilidad.n, cartón.n","passividade.n, desclassificação.n, lance-livre.n, suspensão.n, vantagem.n, pena.n, desqualificação.n, penalidade.n, lateral.n, cartão vermelho.n, cartão preto.n, , inelegibilidade.n, exclusão.n, tiro livre.n, cartão amarelo.n, expulsão.n, pênalti.n, impedimento.n, sanção.n, man-up.n, advertência.n, cartão.n, passe à frente.n",,,
1 329,Satisfying,satisfy.v,,,,"atender.v, satisfazer.v",,,
1 330,Scarcity,"scarceness.n, plentifulness.n, scarce.a, rarity.n, scarcity.n, shortage.n, plentiful.a, rare.a, loss.n","pénurie.n, perte.n, rare.n, raréfaction.n, raréfier.n",,,"preencher.v, escasso.a, abundância.n, -, escassez.n, abundante.a, preenchido.a",,,"ymnig.a, riklig.a"
1 331,Scheduling,"set up.v, arrange.v, schedule.v",,,,"agendar.v, agendamento.n",,,
1 332,School_Supplies,,,,,"apontador.n, giz.n, esferográfica.a, dicionário.n, régua.n, estojo.n, caneta.n, livro.n, cartolina.n, folha.n, material.n, cesto.n, transferidor.a, barbante.n",,,
1 333,Scientific_field,", biology.n, ecology.n","biologie.n, climatologie.n, écologie.n, hydrologie.n, océanographie.n",,,,,,
1 334,Scope,scope.n,,,,,,,
1 335,Scouring,"comb.v, sweep.n, rifle.v, rummage.v, sift.v, ransack.v, scour.v, sweep.v",,"durchstöbern.v, untersuchen.v, abfliegen.v, abfahren.v, absuchen.v, durchkämmen.v, durchwühlen.v",,"escrutinar.v, varrer.v, escrutínio.n, varredura.n, esquadrinhar.v, , vasculhar.v",,,
1 336,Scrutinizing_for,,,,,,,,
1 337,Scrutiny,"analyst.n, scan.v, scrutiny.n, unmonitored.a, once-over.n, eyeball.v, go [through].v, pry.v, inspector.n, ransack.v, search.n, assay.v, comb.v, frisk.v, vote.v, check.v, scrutinize.v, sweep.n, probe.v, search.v, monitor.v, reconnoitre.v, double-check.v, investigate.v, spy out the land.v, surveillance [entity].n, investigation.n, peruse.v, survey.n, rummage.v, look.v, explore.v, study.v, analyse.v, surveillance.n, analytic.a, scour.v, skim.v, scout.v, sweep.v, collect.v, study.n, reconnaissance.n, rifle.v, perusal.n, examination.n, analysis.n, sift.v, monitoring.n, surveyor.n, survey.v","naviguer.v, navigation.n","anschauen.v, gucken.v, studieren.v, beobachten.v, untersuchen.v, prüfen.v, analysieren.v, sehen.v, ansehen.v","buscar.v, explorar.v, inspeccionar.v, exploración.n, peinar.v, estudiar.v, examen.n, examinar.v, analista.n, rastrear.v\n, escudriñar.v, estudio.n, análisis.n, analizar.v, curiosear.v, búsqueda.n, analista.n","monitorado.a, escrutinar.v, buscar.v, sondar.v, explorado.a, analítico.a, reconhecer.v, varrer.v, apurar.v, explorar.v, analisar.v, investigação.n, analista.n, ver.v, análise.n, revistar.v, vidar.v, vide.n, estudado.a, monitoração.n, vigilância [entidade].n, inspetor.n, , checar.v, folhear.v, busca.n, revisar.v, apuração.n, escrutínio.n, inspeção.n, examinar.v, estudos.n, encarar.v, procura.n, estudo.n, revisão.n, verificar.v, observar.v, vasculhar.v, intrometer-se.v, inspecionar.v, varredura.n, procurar.v, investigar.v, estudar.v, monitorar.v, peneirar.v, escanear.v, vigilância.n, reconhecimento.n","n.تصفح, n.تصفح",,"analys.n, testa.v, studie.n, undersökning.n, studera.v, utredning.n, analysera.v, utreda.v, granska.v, studium.n, förstudie.n, undersöka.v, kartlägga.v, granskning.n"
1 338,Searching_scenario,", acidify.v, acidification.n, contaminate.v, pollute.v, eutrophication.n, salinization.n",,,,"monitorar.v, examinar.v, procurar.v",,,
1 339,Secrecy_status,"open.a, concealed.a, secret.n, unclassified.a, covert.a, confidential.a, publicly.adv, public.a, clandestine.a, shadowy.a, secret.a, secretly.adv, surreptitious.a",privé.n,"geheim.a, öffentlich.a, vertraulich.a",,"assumidamente.adv, segredo.n",,,hemlig.a
1 340,See_through,see (through).v,,,,"entender.n, perceber.v",,,
1 341,Seeking,"convert.v, sniff.v, source.v, fumble.v, dig.v, conversion.n, hunt.v, search.v, hybridization.v, forage.v, listen.v, feel.v, pan.v, pat down.v, rummage.v, look.v, manhunt.n, grope.v, watch.v, transform.v, nose.v, seek.v, palpate.v",chercher.v,"suchen.v, laufen.v, schauen.v",,"procurado.a, busca.n, buscar.v","v.بحث, v.بحث",,"söka.v, leta.v, sökasöka sig.v"
1 342,Seeking_to_achieve,"seek.v, pursue.v, pursuit.n",,,,buscar.v,,,"sträva.v, eftersträva.v, strävan.n"
1 343,Self_control,"resist.v, restraint.n, hold back.v, resistant.a, ""(cant) help.v"", suppression.n, repress.v, refrain.v, restrain.v, repression.n, (can't) help.v, suppress.v, resistance.n",,lassen.v,,,,,
1 344,Self_motion,"barge.v, trek.v, storm.v, walk.n, swim.n, troop.v, pad.v, press.v, strut.v, trudge.v, lumber.v, migrate.v, jog.v, hasten.v, waddle.v, scuttle.v, footwork.n, rove.v, stride.v, dance.v, hiker.n, mince.v, ramble.n, canter.v, saunter.v, skip.v, sprint.v, swagger.v, walk.v, slip.v, slink.v, totter.v, sashay.v, scurry.v, pounce.v, step.n, steal.v, rip.v, clomp.v, march.v, drive.v, wade.v, step.v, venture.v, edge.v, clamber.v, pace.v, prowl.v, make.v, romp.v, mosey.v, trundle.v, stroll.n, shuffle.v, promenade.v, scramble.n, hike.n, waltz.v, sleepwalk.v, cruise.v, tramp.v, sneak.v, prance.v, vault.v, swim.v, tiptoe.v, coast.v, dart.v, stagger.v, stumble.v, amble.v, slouch.v, run.v, bound.v, jaunt.n, goose-step.v, slog.v, slalom.v, hobble.v, trip.v, spring.v, slog.n, way.n, advance.v, enroute.a, meander.v, gallivant.v, lope.v, sidle.v, trot.v, bop.v, climb.v, hitchhike.v, plod.v, scoot.v, swing.v, gambol.v, shuffle.n, stomp.v, skim.v, dash.n, parade.v, creep.v, lurch.v, repair.v, hike.v, whisk.v, flounce.v, march.n, caper.v, bustle.v, proceed.v, migration.n, rush.v, scamper.v, slither.v, wander.v, limp.v, tread.v, crawl.n, traipse.v, make a beeline.v, en route.adv, tack.v, stalk.v, head.v, frolic.v, burrow.v, shrink.v, fly.v, roam.v, flit.v, stroll.v, hurry.v, back.v, scramble.v, straggle.v, slosh.v, sail.v, shoulder.v, jump.v, toddle.v, file.v, taxi.v, take to the air.v, lunge.v, hop.v, wriggle.v, skulk.v, sprint.n, dash.v, leap.v, nance.v, slop.v, crawl.v","danser.v, marcher.v, déplacement.v, déplacer.v, migration.n, migrer.v","schleichen.v, treten.v, kriechen.v, springen.v, entgegenfahren.v, huschen.v, tanzen.v, wandern.v, schwimmen.v, steigen.v, stampfen.v, zurückfahren.v, klettern.v, fahren.v, Sprung.n, stürzen.v, fliegen.v, schlendern.v, schlittern.v, spazieren gehen.v, setzen.v, bewegen.v, gehen.v, spazieren.v, marschieren.v, humpeln.v, halten.v, rennen.v, vorrücken.v, baden.v, laufen.v, schwingen.v, turnen.v, einziehen.v, gleiten.v, bemühen.v, bummeln.v, ziehen.v, anziehen.v","caminata.n, nan","nadar.v, revolver.v, caminhada.n, pisar.v, esquentar.v, dança.n, cambalhota.n, escorregar.v, andar.v, ir.v, dançar.v, circular.v, , desfilar.v, alongamento.n, tropeçar.v, caminhar.v, voar.v, correr.v, mergulhar.v, -, passar.v, movimento.n",,,"simma.v, hoppa.v, springa.v, stiga.v, ila.v, hoppahoppa av.v, studsa.v, promenera.v, springaspringa ut.v, rusa.v, stryka.v, rusarusa in.v, klättra.v, skumpa.v, rusarusa fram.v, löpa.v, dans.n, promenad.n, dansa.v, skrida.v, hoppahoppas.v, trava.v, träträdaträda i kraft.v, steg.n, inmarsch.n, dyka.v, vandra.v, kliva.v, trippa.v, stigastiga av.v, strosa.v, trampa.v, jogga.v, krypa.v, masamasa sig.v, vandring.n, knalla.v, ränna.v, löpalöpa amok.v, stigastiga upp.v, gången gång:1.n"
1 345,Sending,"send.v, barge.v, mail.v, ship.v, forward.v, express.v, telex.v, shipment [items].n, route.v, shipment [act].n, reforest.n, dispatch.v, wire.v, afforestation.n, post.v, fax.v, refer.v, afforest.a, export.v, shipping.n, reforestation.n",envoyer.v,,,"endereçar.v, mandar.v, enviar.v, mandado.a",n.إرسال,,"skickaskicka in.v, sända.v, skicka.v, skickaskicka ned.v, sändning.n"
1 346,Sensation,"perfume.n, smell.n, hot.a, bouquet.n, scent.n, stink.n, feel.n, perception.n, image.n, fragrance.n, sense.n, flavour.n, noise.n, sensation.n, reek.n, taste.n, scene.n, sight.n, whiff.n, incense.n, sound.n, feeling.n, odor.n, aroma.n, savour.n","auditif.a, auditif.a, kinesthésique.a, kinesthésique.a, visuel.a, visuel.a",,"sabor.n, perfume.n, aroma.n, tufo.n, olor.n, ruido.n, buqué.n, fragancia.n, sonido.n, tacto.n, aroma.n, peste.n, vista.n, chirrido.n, hedor.n, vista.n\n, buque.n","sensação.n, sabor.n, perfume.n, , vista.n, mau-cheiro.n, nota.n, sentir.v",,,"känsla.n, smak.n, smakfå smak:5.n, doft.n, röklukt.n, lukt.n, välljud.n, ljud.n, stank.n, förnimmelse.n"
1 347,Sent_items,"shipment.n, post.n, mail.n",,"Post.n, Sendung.n",,"correio.n, remessa.n",,,post.n
1 348,Sentencing,"send up.v, sentence.v, condemn.v, sentence.n, order.v",,,,"condenar.v, sentenciar.v",,,"döma.v, dom.n, inkvisition.n"
1 349,Separating,"part.v, split.v, segment.v, bisect.v, separate.v, section.v, divide.v, partition.n, sever.v, fragment.n, partition.v, segregate.v","diviser.v, fragmenter.v","abschließen.v, unterscheiden.v, scheiden.v, trennen.v, teilen.v, gliedern.v",,"divergir.v, subdividir.v, -, em.adv, partição.n, separação.n",,,"dela.v, sila.v, deladela upp.v, skilja.v, indelning.n, separera.v, fördelning.n, skiljaskiljas.v"
1 350,Sequence,"successive.a, sequence.n, order.n, succession.n, series.n, sequential.a","hiérarchie.n, série.n","Reihenfolge.n, Folge.n",,"último.a, seguinte.a, primeiro.a, seguido.a, seguir.v, série.n, próximo.a, sequência.n, ordem.n",,,"följd.n, följdtill följd:9.n, följdtill följd:18.n, serie.n, följdtill följd:28.n"
1 351,Service_client_supplier_interaction,,,,,,,,
1 352,Serving_in_capacity,serve.v,,fungieren.v,,"cumprir.v, servir.n",,,
1 353,Set_of_interrelated_entities,system.n,,System.n,,clientela.n,,,
1 354,Set_relation,,,,,,,,
1 355,Setting_back_burn,backfire.n,,,,queimada controlada.n,,,
1 356,Setting_fire,"spark.v, kindle.v, light.v, set ablaze.idio, ignite.v, catch on fire.v, torch.v, set alight.idio, start.v, set fire.v, set on fire.v",,"anzünden.v, in Brand setzen.m, entzünden.v, brennen.v",,"queimar.v, atear.v, acender.v, fogo.n",,,"tända.v, elda.v, tändatända eld.v, anläggning.n, blossa.v"
1 357,Setting_out,"set out.v, set off.v, decamp.v",,"sich auf den Weg machen.m, starten.v",,,,,
1 358,Severity_of_offense,"actionable.a, felonious.a, indictable.a, capital.a",,strafbar.a,,,,,"grov.a, olaga.a"
1 359,Sex,"mate.v, make love.v, ""jump (someones) bones.idio"", make whoopee.a, go at it.v, bump uglies.v, jump (someone's) bones.idio, bang.v, sex.n, jump.v, take.v, fuck.v, have.v, do it.v, quickie.n, slam.v, knock boots.v, bed.v, lay.v, do.v, give.v, shag.v, bone.v, copulate.v, intercourse.n, pork.v",,lieben.v,,"sexo.n, transar.v, cruzamento.n, relação sexual.n, sexualmente.adv, penetração.n, cruzar.v, sexual.a",,,ligga.v
1 360,Sexual_reproduction_scenario,,,,,,,,
1 361,Shaped_part,"arm.n, rind.n, brim.n, handle.n, leg.n, mouth.n",,,,"alça.n, graveto.n, casca.n, braço.n, perna.n, boca.n, borda.n",,,handtag.n
1 362,Shapes,", cube.n, circle.n, row.n, v.n, oval.n, expanse.n, shape.n, strip.n, ribbon.n, wedge.n, round.a, curve.n, line.n, ball.n, coil.n, square.n, length.n, stick.n, stretch.n, circular.a, inclined.a, triangle.n, sheet.n, ellipse.n, slanted.a",boule.n,"Würfel.n, Kreis.n, Dreieck.n, Quadrat.n",,"grade.n, inclinado.a, redondo.a, risco.n, formar.v, forma.n, espiral.n, ângulo.n, bola.n, linha.n, formato.n, íngreme.a, perfil.n, falciforme.a, cubo.n",,,"rad.n, band.n, skiva.n, rör.n, pinne.n, vitlöksklyfta.n, spiral.n, kula.n, linje.n, stråstråt.n, radi rad:15.n, platta.n, rulle.n, krök.n, cirkel.n, kurva.n, trekantig.a, strå.n"
1 363,Sharing,"atmosphere.n, biosphere.a, cryosphere.n, share.v, ozone.n","partage.n, partager.v",,,"dividido.a, distribuição.n, compartilhável.a, dividir.v, compartilhar.v",n.مشاركة,,
1 364,Sharpness,"sharp.a, blunt.a, dull.a",,,,"corto-contuso.a, cortante.a, rombudo.a, afiado.a, perfurocortante.a",,,skarp.a
1 365,Shoot_projectiles,"fire off.v, fire.n, fire.v, shoot.v, launch.v, launch.n",,treffen.v,"tirotear.v, disparar.v, tirotear.v\n, disparar.v, disparar_al_aire.v","lançar.v, tiroteio.n, disparar.v, atirar.v",,,"avlossa.v, avfyra.v"
1 366,Shooting_scenario,,,,,,,,
1 367,Shopping,"shop.v, shopping.n",,,,"comprar.v, custo benefício.n, compras.n",,,shopping.n
1 368,Short_selling,sell short.v,,,,,,,
1 369,Sidereal_appearance,"rise.v, come up.v, rise.n",,"Aufgang.n, aufsteigen.v, aufgehen.v, hervorgehen.v, durchdringen.v",,estrela.n,,,solnedgång.n
1 370,Sign,"sign.n, indication.n, indicate.v, signify.v, indicative.a, symptomatic.a, symptom.n, usher in.v, mark.v",,"Zeichen.n, aussehen.v, Anzeichen.n, bedeuten.v, markieren.v, Symptom.n",,"orientar.v, indicar.v",,,tecken.n
1 371,Sign_agreement,"signature.n, signatory.n, sign.v, accede.v",,"zeichnen.v, unterschreiben.v, unterzeichnen.v",,"assinatura.n, assinar.v, acordo.n",,,
1 372,Silencing,"hush up.v, quiet down.v, shush.v, quiet.v, silence.v, hush.v, shut up.v",,"verstummen.v, beruhigen.v, zum Verstummen bringen.m, zum Schweigen bringen.m",,"aquietar.v, calar.v, silenciar.v",,,
1 373,Similarity,"difference [count].n, deviation.n, variation.n, vary.v, disparate.a, similarity [count].n, mimic.v, dissimilarity [mass].n, similarity [mass].n, like.prep, unlike.prep, deviant.a, unlike.a, difference.n, distinct.a, how.adv, different.a, take (after).v, image.n, resemblance.n, variant.n, like.a, parallel.n, ringer.n, like.n, differ.v, deviate.v, similar.a, very image.n, take after.v, alike.a, discrepant.a, resemble.v, dissimilarity.n, dissimilar.a, discrepancy.n, spitting image.n, disparity.n, distinction.n","comme.c, comment.adv, même.adv","schlagen.v, treffen.v, unterscheiden.v, differenzieren.v, kommen.v, abheben.v","parecido.n, similitud.n\n, distinguirse.v, distinto.a, similar.a, diferencia.n, diferenciarse.v, similitud.n, parecerse.v, diferencia.n, parecido.a, diferente.a","variar.v, da mesma forma.adv, similar.a, dissemelhança.n, parecido.a, assemelhar.v, diferente.a, diferença.n, distinto.a, imagem.n, diferentemente.adv, , semelhança.n, como.c, discrepante.a, discrepância.n, semelhante.a, desigual.a, igual.a, disparidade.n, díspar.a, distinção.n, semelhantemente.adv, parecer.v, mimetizar.v, tipo.a, paralelo.n, assim como.scon, variante.n, diferir.v, dessemelhante.a, mesmo.a, diferença [contável].n",,,"likadan.a, olik.a, brytabryta fram.v, skillnad.n, liklika.a, likna.v, bryta.v, skillnadtill skillnad från:10.n, variant.n, stå.v, lik.adv, kontrast.n, kontrastera.v"
1 374,Simple_name,"word.n, term.n",,"Begriff.n, Wort.n",,"sigla.n, oração.n, vocábulo.n, palavra.n, verbo.n, termo.n",,,"ord.n, term.n"
1 375,Simple_naming,"term.v, call.v",,,,chamar.v,,,
1 376,Simulating,", model.n, simulate.v, modelling.v","modélisation.n, modéliser.v, reproduire.a, simulation.n, simuler.v, simuler.v",,,,,"模拟.n, 模拟.n",
1 377,Simultaneity,"co-occurrence.n, simultaneity.n, concurrent.a, co-occur.v, simultaneous.a, conjunction.n, coincide.v, simultaneously.adv, concurrency.n",,,,"simultaneidade.n, simultâneo.a, concorrência.n, concorrente.a, co-ocorrência.n, simultaneamente.adv, conjunção.n, coincidir.v, co-ocorrer.v",,,
1 378,Size,"little.a, mini.a, tiny.a, immeasurable.a, colossal.a, ample.a, tremendous.a, miniscule.a, mass.a, grand.a, infinitesimal.a, tall.a, minimum.a, puny.a, mid-size.a, humongous.a, voluminous.a, bigger.a, large.a, Lilliputian.a, capacious.a, big.a, bitty.a, biggest.a, giant.a, bulky.a, sizable.a, petite.a, inferior.a, wee.a, enormous.a, dose.n, Brobdingnagian.a, jumbo.a, great.a, small.a, vast.a, substantial.a, smaller.a, medium-sized.a, high.a, massive.a, medium.a, miniature.a, gigantic.a, maximum.a, immense.a, huge.a","grand.a, maigre.a, petit.a",,,"amplo.a, mediano.a, ínfimo.a, enorme.a, alto.a, minimamente.adv, pequenininho.a, inferiormente.adv, massivo.a, mínimo.a, volumoso.a, elevar.v, menor.a, colossal.a, maior.a, gigantesco.a, , grande.a, meio-metro.n, minúsculo.a, jumbo.a, período.n, ligeiro.a, elevado.a, máximo.a, altamente.adv, espaçoso.a, miniatura.n, mini.a, médio.a, diminuto.a, dosar.v, gigante.a, alta.a, imensurável.a, pequeno.a, estrondoso.a, infinitesimal.a, maximamente.adv, imenso.a, liliputiano.a, substancial.a",,,"liten.a, stor.a, fögaliteliten.adv, kolossal.adv, pytteliten.a, enorm.adv, stortill stor del:12.a, stortill största delen:3.a, gigantisk.a, litenlitet.adv, stortill största delen:9.a, enorm.a, kolossal.a, fögalitelitenminst.adv, stortill stor del:14.a"
1 379,Sleep,"slumber.v, unconscious.a, asleep.a, catnap.n, hibernation.n, out.a, sleep [event].n, forty winks.n, kip.n, sleep.v, slumber.n, snooze.n, catnap.v, snooze.v, doze.v, nap.n, out like a light.a, hibernate.v, doze.n, sonar.n, shut-eye.n, kip.v, drowse.n, drowse.v, sleep [quantity].n, nap.v","hibernation.n, hiberner.v, en.a",", die.n, aufstehen.v, müde.a, verschlafen.v, Wecker, das.n, ausschlafen.v, schlafen.v, Schläfchen, schläfrig.a, wach.a, Alptraum, aufwachen.v, Bewusstsein: das Bewusstsein verlieren.m, bewusstlos.a, einschlafen.v, dösen.v, Schlaf, wecken.v, Ohnmacht: in Ohnmacht fallen.m, Schlummertaste, der.n, Traum",,"dormir.v, inconsciente.a, sono.n, -, cochilo.n",,,"sova.v, sömn.n, tupplur.n"
1 380,Sleep_wake_cycle,,,,,,,,
1 381,Smuggling,"contraband.a, smuggling.n, smuggler.n, contraband.n, smuggle.v",,schmuggeln.v,,"contrabando.n, contrabandear.v, contrabandista.n, muamba.n",,,smuggla.v
1 382,Soaking,"steep.v, soak.v, marinate.v",,"einweichen.v, tränken.v","adobar.v, , remojar.v, bañar.v, mojar.v, empapar.v, remojar.v\n, en_remojo.a","embeber.v, mergulhar.v, submergir.v",,,marinera.v
1 383,Soaking_up,"uptake.v, absorb.v, soak up.v, absorption.n, sponge.v","absorber.v, absorption.n",,,"absorver.v, absorção.n, ensopar.v, absorver.v, embeber.v",,吸收.v,
1 384,Sociability,"recluse.n, friendly.a, gregarious.a, shy.a, sociable.a, introverted.a, outgoing.a, companionable.a, timid.a, affable.a, loner.n, extrovert.n",,"schüchtern.a, freundlich.a, Einsiedler.n, gesellig.a, Einzelgänger.n",,"acanhado.a, sociável.a, tímido.a, extrovertido.a, introvertido.a, solitário.a",,,blyg.a
1 385,Social_behavior_evaluation,,,,,negligente.a,,,
1 386,Social_connection,"intimate [setting].a, link.n, connection.n, closeness.n, tie.n, connected.a, linked.a, bond.n, close.a, intimate.a",,Band.n,,"ligado.a, doméstico.a",,,"nära.a, nära.adv, näranära nog.adv, närkontakt.n"
1 387,Social_desirability,"proletarian.a, working-class.a, upper-class.a, plebeian.a, pedestrian.a, vulgar.a, low.a, common.a, humble.a",,,,"vulgar.a, comum.a",,,
1 388,Social_entity,,,,,,,,
